CHANGESET,COMMIT MESSAGE,OWNER,DATE AND TIME
b7f36344,Check-in the Lab default template,Papa Niane,"Dec 12, 2014 at 11:52 PM"
3b6db567,Imported code under path $/CRDT_Projects/BuildProcessTemplates/ starting Changeset 3,TFVC Import,"Dec 12, 2014 at 11:52 PM"
