CHANGESET,COMMIT MESSAGE,OWNER,DATE AND TIME
5804,Disabled news and action items,Bryce Bartley,20 May 2019 at 19:47
5485,Fix for scehdule OFF display bug,Bryce Bartley,4 Mar 2019 at 20:47
5284,Added Monthly Publications,Bryce Bartley,18 Dec 2018 at 22:01
4991,Added Shifty line to schedule,Bryce Bartley,5 Oct 2018 at 01:49
3573,Additional TTT tweaks,Bryce Bartley,20 Jul 2017 at 20:32
3517,SW SAGE Library for Tech Connect,Bryce Bartley,28 Jun 2017 at 01:55
2883,Adding SW apps we're still supporting to TFS,Bryce Bartley,31 Mar 2017 at 02:55
